"Name","Gross Export","Share","Code","Sector"
"Zinc oxide or peroxide","712691","0.0016901651314858998","2817","Chemicals"
"Aluminum oxide","24019","0.00005696167945597717","2818","Chemicals"
"Chromium oxides and hydroxides","28212","0.00006690548735634405","2819","Chemicals"
"Manganese oxides","6320391","0.014988970655666057","2820","Chemicals"
"Iron oxides and hydroxides","425409","0.001008868441470827","2821","Chemicals"
"Titanium oxides","90252","0.00021403495125778973","2823","Chemicals"
"Lead oxides","208015","0.0004933129502491815","2824","Chemicals"
"Metal base oxides, n.e.c.","5592","0.000013261572568292784","2825","Chemicals"
"Hyopchlorites","234421","0.0005559354619155512","2828","Chemicals"
"Sulfites","12554","0.00002977213555478319","2832","Chemicals"
"Sulfates","154199","0.00036568691496033243","2833","Chemicals"
"Nitrites, nitrates","57999","0.00013754612793068905","2834","Chemicals"
"Phosphates","45353708","0.10755749103776126","2835","Chemicals"
"Carbonates","497519","0.0011798791707089515","2836","Chemicals"
"Silicates","275135","0.0006524897654823381","2839","Chemicals"
"Borates","1868","0.000004430010292841723","2840","Chemicals"
"Salts of oxometallic acids","3937","0.000009336697282075946","2841","Chemicals"
"Other salts of acids","31493","0.00007468646367904947","2842","Chemicals"
"Compounds of precious metals","2224","0.000005274273496402566","2843","Chemicals"
"Uranium","4176","0.000009903491960871005","2844","Chemicals"
"Hydrogen peroxide","147233","0.0003491668658704312","2847","Chemicals"
"Inorganic compounds, liquid or compressed air","4089","0.000009697169211686193","2851","Chemicals"
"Acyclic hydrocarbons","9175","0.000021758749698513282","2901","Chemicals"
"Halogenated derivatives of hydrocarbons","190036","0.0004506752869435063","2903","Chemicals"
"Acyclic alcohols","2712","0.000006431578112519676","2905","Chemicals"
"Cyclic alcohols","3149","0.000007467934910149137","2906","Chemicals"
"Phenols, phenol-alcohols","4677","0.000011091626413073203","2907","Chemicals"
"Ethers","13189","0.00003127805447124705","2909","Chemicals"
"Aldehydes","166044","0.00039377763868555203","2912","Chemicals"
"Ketones and quinones","17323","0.0000410819423463047","2914","Chemicals"
"Saturated acyclic monocarboxylic acids","45025","0.00010677795151777226","2915","Chemicals"
"Unsaturated acyclic monocarboxylic acids","186045","0.0004412105272653846","2916","Chemicals"
"Polycarboxylic acids","8156","0.000019342164854613005","2917","Chemicals"
"Carboxylic acids with additional oxygen function","4168714","0.00988621302350824","2918","Chemicals"
"Oxygen-function amino-compounds","1013","0.0000024023556887840826","2922","Chemicals"
"Quaternary ammonium salts and hydroxides","17114","0.00004058629344309061","2923","Chemicals"
"Isocyanates","2059138","0.0048832990012749045","2929","Chemicals"
"Organo-sulfur compounds","28265","0.00006703117822653711","2930","Chemicals"
"Other organo-inorganic compounds","22774","0.00005400912976936693","2931","Chemicals"
"Heterocyclic compounds with oxygen hetero-atom(s) only","269317","0.0006386922280713353","2932","Chemicals"
"Heterocyclic compounds with nitrogen hetero-atom(s) only","167013","0.0003960756472368174","2933","Chemicals"
"Nucleic acids and their salts","12653","0.00003000691661420039","2934","Chemicals"
"Vitamins","136537","0.00032380102534996277","2936","Chemicals"
"Hormones","195413","0.00046342698145346886","2937","Chemicals"
"Glycosides","12050312","0.02857762644108894","2938","Chemicals"
"Other sugars, chemically pure","8773","0.000020805396305728287","2940","Chemicals"
"Antibiotics","118908","0.0002819933960927322","2941","Chemicals"
"Heparin for therapeutic use","5245","0.000012438653097406232","3001","Chemicals"
"Serums and vaccines","5642095","0.013380374155883739","3002","Chemicals"
"Medicaments, not packaged","1579563","0.0037459744904667835","3003","Chemicals"
"Medicaments, packaged","45329608","0.10750033726471121","3004","Chemicals"
"Wadding, gauze and bandages","4392700","0.010417401613150877","3005","Chemicals"
"Pharmaceutical goods","464854","0.0011024132787305389","3006","Chemicals"
"Animal or vegetable fertilizers","1154","0.000002736740834014641","3101","Chemicals"
"Nitrogenous fertilizers","3506626","0.008316054214746469","3102","Chemicals"
"Phosphatic fertilizers","266949328","0.6330772327126238","3103","Chemicals"
"Potassic fertilizers","142065","0.0003369108202636828","3104","Chemicals"
"Mixed fertilizers","2919462400","6.923580557582657","3105","Chemicals"
"Vegetable tanning extracts","11579","0.000027459897848401667","3201","Chemicals"
"Synthetic tanning substances","19486","0.00004621155276569263","3202","Chemicals"
"Coloring matter of animal or vegetable origin","72646","0.00017228186709517123","3203","Chemicals"
"Synthetic organic coloring matter","5230588","0.012404474666817131","3204","Chemicals"
"Color lakes","11433","0.000027113655073907617","3205","Chemicals"
"Other coloring matter","413364","0.0009803034125750677","3206","Chemicals"
